filename,filepath,algorithm,original_size,compressed_size,compression_ratio,compression_time,speed_mbps
paper6,data\academic_corpora\calgary\paper6,brotli,38105,11135,3.4220925011225862,0.04437613487243652,0.818903221993585
pic,data\academic_corpora\calgary\pic,gzip,513216,52233,9.825512606972604,0.06337118148803711,7.723398972151784
pic,data\academic_corpora\calgary\pic,bzip2,513216,49759,10.314033642155188,0.00868368148803711,56.36329690846192
pic,data\academic_corpora\calgary\pic,lzma,513216,41992,12.22175652505239,0.08312487602233887,5.8880198249825755
pic,data\academic_corpora\calgary\pic,zstd,513216,43640,11.760219981668195,0.23441314697265625,2.087941415785191
pic,data\academic_corpora\calgary\pic,brotli,513216,40939,12.536114707247368,0.7585773468017578,0.645208982356624
progc,data\academic_corpora\calgary\progc,gzip,39611,13342,2.9688952181082295,0.001508474349975586,25.042516200410937
progc,data\academic_corpora\calgary\progc,bzip2,39611,12544,3.157764668367347,0.0020809173583984375,18.15352887259395
progc,data\academic_corpora\calgary\progc,lzma,39611,12560,3.1537420382165604,0.009097814559936523,4.152205246468723
progc,data\academic_corpora\calgary\progc,zstd,39611,12790,3.0970289288506647,0.00950932502746582,3.972520997868873
progc,data\academic_corpora\calgary\progc,brotli,39611,11619,3.409157414579568,0.03412818908691406,1.1068853741686693
progl,data\academic_corpora\calgary\progl,gzip,71646,16158,4.434088377274415,0.0,0.0
progl,data\academic_corpora\calgary\progl,bzip2,71646,15579,4.598883111881379,0.010565042495727539,6.467266941980909
progl,data\academic_corpora\calgary\progl,lzma,71646,14984,4.781500266951415,0.022700786590576172,3.0098935030562735
progl,data\academic_corpora\calgary\progl,zstd,71646,15153,4.72817263908137,0.02971673011779785,2.2992755192914047
progl,data\academic_corpora\calgary\progl,brotli,71646,14003,5.116475041062629,0.0630345344543457,1.0839605727988624
progp,data\academic_corpora\calgary\progp,gzip,49379,11180,4.416726296958855,0.003021717071533203,15.584345905002367
progp,data\academic_corpora\calgary\progp,bzip2,49379,10710,4.610550887021475,0.0,0.0
progp,data\academic_corpora\calgary\progp,lzma,49379,10352,4.769996136012365,0.01728367805480957,2.7246216876112177
progp,data\academic_corpora\calgary\progp,zstd,49379,10450,4.725263157894737,0.0065534114837646484,7.185796922181395
progp,data\academic_corpora\calgary\progp,brotli,49379,9880,4.997874493927125,0.04901480674743652,0.9607603741554506
trans,data\academic_corpora\calgary\trans,gzip,93695,18928,4.950073964497041,0.00392603874206543,22.759458310560515
trans,data\academic_corpora\calgary\trans,bzip2,93695,17899,5.234649980445835,0.0025610923767089844,34.88921988456526
trans,data\academic_corpora\calgary\trans,lzma,93695,16720,5.603767942583732,0.03021979331970215,2.9568208534843907
trans,data\academic_corpora\calgary\trans,zstd,93695,17294,5.4177749508500055,0.05097460746765137,1.752922082477795
trans,data\academic_corpora\calgary\trans,brotli,93695,15402,6.083300870016881,0.10621118545532227,0.8412910061461518
alice29.txt,data\academic_corpora\canterbury\alice29.txt,gzip,152089,54182,2.807002325495552,0.007757902145385742,18.696210701004947
alice29.txt,data\academic_corpora\canterbury\alice29.txt,bzip2,152089,43202,3.520415721494375,0.011194467544555664,12.956701382233296
alice29.txt,data\academic_corpora\canterbury\alice29.txt,lzma,152089,48492,3.136373009981028,0.045053720474243164,3.2193428551773042
alice29.txt,data\academic_corpora\canterbury\alice29.txt,zstd,152089,49211,3.090548861027006,0.047112464904785156,3.0786623752555617
alice29.txt,data\academic_corpora\canterbury\alice29.txt,brotli,152089,46487,3.271645836470411,0.16582345962524414,0.8746854844043398
asyoulik.txt,data\academic_corpora\canterbury\asyoulik.txt,gzip,125179,48790,2.565669194507071,0.0030083656311035156,39.68267554287526
asyoulik.txt,data\academic_corpora\canterbury\asyoulik.txt,bzip2,125179,39569,3.1635623846950898,0.008858919143676758,13.475684258686115
asyoulik.txt,data\academic_corpora\canterbury\asyoulik.txt,lzma,125179,44536,2.81073738099515,0.03851771354675293,3.099353161462041
asyoulik.txt,data\academic_corpora\canterbury\asyoulik.txt,zstd,125179,45137,2.773312360147994,0.02624201774597168,4.549192764407134
asyoulik.txt,data\academic_corpora\canterbury\asyoulik.txt,brotli,125179,42712,2.930768870575014,0.14333438873291016,0.8328775690798885
cp.html,data\academic_corpora\canterbury\cp.html,gzip,24603,7952,3.0939386317907447,0.0,0.0
cp.html,data\academic_corpora\canterbury\cp.html,bzip2,24603,7624,3.227046169989507,0.0013012886047363281,18.030780505679736
cp.html,data\academic_corpora\canterbury\cp.html,lzma,24603,7644,3.2186028257456827,0.003507852554321289,6.688778631142527
cp.html,data\academic_corpora\canterbury\cp.html,zstd,24603,7713,3.189809412679891,0.006291389465332031,3.729422464756708
cp.html,data\academic_corpora\canterbury\cp.html,brotli,24603,6894,3.5687554395126195,0.021141767501831055,1.1098054694107697
fields.c,data\academic_corpora\canterbury\fields.c,gzip,11150,3127,3.5657179405180686,0.0,0.0
fields.c,data\academic_corpora\canterbury\fields.c,bzip2,11150,3039,3.668970055939454,0.0005049705505371094,21.0576015108593
fields.c,data\academic_corpora\canterbury\fields.c,lzma,11150,3028,3.6822985468956406,0.0073506832122802734,1.4465959586130843
fields.c,data\academic_corpora\canterbury\fields.c,zstd,11150,3015,3.6981757877280264,0.004331827163696289,2.454730585062469
fields.c,data\academic_corpora\canterbury\fields.c,brotli,11150,2717,4.103790945896209,0.010821342468261719,0.9826385828853441
grammar.lsp,data\academic_corpora\canterbury\grammar.lsp,gzip,3721,1234,3.0153970826580228,0.0,0.0
grammar.lsp,data\academic_corpora\canterbury\grammar.lsp,bzip2,3721,1283,2.9002338269680434,0.0,0.0
grammar.lsp,data\academic_corpora\canterbury\grammar.lsp,lzma,3721,1292,2.880030959752322,0.014076709747314453,0.25209173130991497
grammar.lsp,data\academic_corpora\canterbury\grammar.lsp,zstd,3721,1211,3.0726672171758875,0.0,0.0
