filename,filepath,ensemble_ratio,baseline_ratio,improvement_pct
checkstyle-xdoc.xsl,data\academic_corpora\required_corpus\checkstyle-xdoc.xsl,4.302430243024302,3.169761273209549,35.73357335733573
checksum.html,data\academic_corpora\required_corpus\checksum.html,3.9728609121748963,3.085480093676815,28.75989445910289
chgrp.html,data\academic_corpora\required_corpus\chgrp.html,3.411472697186983,2.522430668841762,35.24544953116382
chmod.html,data\academic_corpora\required_corpus\chmod.html,3.474717927287923,2.671915167095116,30.04596740493104
chown.html,data\academic_corpora\required_corpus\chown.html,3.348850252383623,2.4632838283828384,35.95064498037015
classfileset.html,data\academic_corpora\required_corpus\classfileset.html,3.4902506963788302,2.3552631578947367,48.189415041782745
clearcase.html,data\academic_corpora\required_corpus\clearcase.html,7.101531480431083,5.850467289719626,21.38400453771979
clonevm.html,data\academic_corpora\required_corpus\clonevm.html,2.7323162274618586,1.790909090909091,52.56588072122052
common.html,data\academic_corpora\required_corpus\common.html,2.9581056466302367,1.7652173913043478,67.57741347905282
common2master.xsl,data\academic_corpora\required_corpus\common2master.xsl,2.8807588075880757,1.9468864468864469,47.96747967479674
componentdef.html,data\academic_corpora\required_corpus\componentdef.html,2.8882602545968883,1.8102836879432624,59.54738330975955
concat.html,data\academic_corpora\required_corpus\concat.html,4.3607325383304945,3.440524193548387,26.74616695059627
conceptstypeslist.html,data\academic_corpora\required_corpus\conceptstypeslist.html,4.035369774919614,2.793026706231454,44.480171489817785
condition.html,data\academic_corpora\required_corpus\condition.html,3.2714420358152685,2.2715968586387434,44.015080113100844
conditions.html,data\academic_corpora\required_corpus\conditions.html,4.882434089515635,4.134605399792315,18.087063151440848
CONTRIBUTING.md,data\academic_corpora\required_corpus\CONTRIBUTING.md,2.8292134831460674,2.0482646420824295,38.12734082397004
CONTRIBUTORS,data\academic_corpora\required_corpus\CONTRIBUTORS,0.6923076923076923,0.1323529411764706,423.0769230769231
contributors.xml,data\academic_corpora\required_corpus\contributors.xml,8.262630966239813,7.635111876075731,8.218859138533174
copy.html,data\academic_corpora\required_corpus\copy.html,3.843222645617855,3.0910683012259192,24.33315187806206
copydir.html,data\academic_corpora\required_corpus\copydir.html,3.8642638036809815,2.7994444444444446,38.03680981595091
copyfile.html,data\academic_corpora\required_corpus\copyfile.html,3.0324763193504736,1.9520905923344947,55.34506089309878
copyrightcheck.sh,data\academic_corpora\required_corpus\copyrightcheck.sh,2.6277955271565494,1.8037280701754386,45.686900958466445
cover.html,data\academic_corpora\required_corpus\cover.html,2.9194805194805196,1.879598662207358,55.32467532467532
coverage-frames.xsl,data\academic_corpora\required_corpus\coverage-frames.xsl,5.7604622111180515,4.671985815602837,23.297938788257337
credits.html,data\academic_corpora\required_corpus\credits.html,3.126865671641791,2.3213296398891967,34.701492537313435
custom-programming.html,data\academic_corpora\required_corpus\custom-programming.html,4.239009287925697,3.4540867810292633,22.72445820433438
cvs.html,data\academic_corpora\required_corpus\cvs.html,3.633377718597426,2.7881471389645776,30.315135375055497
cvspass.html,data\academic_corpora\required_corpus\cvspass.html,2.81908302354399,1.8465909090909092,52.66418835192067
